task_id,assignment_name,essay_text,word_count,sentence_count,avg_sentence_length
task_1,"Diagnostic Writing Tasks
27 Jan 2026 – 199 words","I used to believe that silence meant weakness. I thought the loudest people were the strongest, and that confidence had to be visible to be real. Growing up in a competitive environment, I often felt invisible when I chose to listen rather than speak. But as I grew older, I began to understand that strength can be quiet. The most influential people in my life were not the ones who talked the most; they were the ones who listened deeply, thought carefully, and acted with purpose. Silence, I learn",199,7,15.43
task_2,"Identifying Paragraph Patterns
30 Nov 2025 – 68 wo","A. The paragraph is chronological because it shows actions in time order.
B. The paragraph is listing because it groups items together.
C. [continued – full text in file Home work.docx]",68,3,10.0
task_3,"Argumentative Essay Intro – Draft
3 Feb 2026 – 112","In recent years, education has changed significantly due to technological advancements. The most discussed topic today is the comparison between online learning and onsite learning. While onsite learning has been the dominant form of education for many decades, online learning has become increasingly popular, especially after recent global changes that affected education systems worldwide. This shift has raised concerns about the effectiveness of online learning compared to traditional classroom",112,5,19.0
task_4,Argumentative Essay Intro – Student Revised Commen,"In recent years, education has changed significantly due to rapid technological advancements. One of the most discussed topics today is the comparison between online learning and onsite learning. While onsite learning has been the dominant form of education for many decades, online learning has become increasingly popular, especially after recent global changes that affected education systems worldwide. This shift has raised concerns about the effectiveness of online learning compared to traditi",98,5,19.6
task_5,"Argumentative Essay Intro – GRADED
12 Feb 2026  | ","[Full text in file Essay AEL.docx]

Instructor-provided model / general feedback text:
Artificial intelligence has rapidly become part of everyday university life. Many students now turn to AI tools to support their writing; organize their ideas; and conduct research more efficiently. Because these technologies are easily accessible and simple to use; their presence in academic work continues to expand. This growing use has sparked an ongoing debate within higher education. Some educators and st",161,11,14.55
task_6,"First Body Paragraph – Original
15 Feb 2026 – 186 ","One important concern about using Artificial Intelligence in higher education is that students may start depending on it too much. AI is meant to support learning, but when it becomes the main source for doing assignments, it can slowly weaken important skills like critical thinking and problem solving. When students use AI to write essays or answer difficult questions, they miss the process of thinking deeply, questioning ideas, and building their own arguments. Critical thinking becomes weaker",186,8,23.12
task_7,"First Body Paragraph – Student Revision Comment
16","One important concern about using Artificial Intelligence in higher education is that students may start leaning on it too much. AI is meant to support learning, but when it becomes the main source for doing assignments, it can slowly weaken important skills like critical thinking and problem solving. When students use AI to write essays or answer difficult questions, they miss the process of thinking deeply, questioning ideas, and building their own arguments. Critical thinking becomes weaker b",185,8,23.12
task_8,"Second Body Paragraph – v1 online text
23 Feb 2026","Nevertheless, using AI in universities has another problem. It can make students less good at thinking for themselves. Figuring things out on their own... [200 words – text begins as above, full text visible in submission online text field of module 5868]",200,4,10.25
task_9,Second Body Paragraph – Student Revision (comment ,The use of intelligence in universities has a serious problem. Artificial intelligence can affect how honest students are when they do their work. Artificial intelligence tools can help students generate ideas or understand concepts. However when students use intelligence tools in the wrong way it becomes hard to know what work is truly the students work and what is not the students work. If students submit assignments that artificial intelligence completed for them this no longer measures the s,279,17,16.41
task_10,"Second Body Paragraph – FINAL SUBMISSION
6 Mar 202","Another major worry is how AI impacts fairness and student relationships. Some students use AI a lot to do their assignments while others do their work on their own it can make school unfair. Students who take time to research write and revise their work might feel discouraged when they see others getting better results with little effort by using AI. This can make classmates not trust each other and make students less motivated to work.
Over time it can also cause problems in the classroom beca",198,9,22.22
task_11,"Writing Progress Reflection
14 Mar 2026 – 123 word","1. What writing skills have you learned so far?
I have learned to organize my ideas in paragraphs. I also learned to use connecting words. I have learned to structure an essay, write a clear thesis statement, and organize ideas into body paragraphs. I also learned how to use transition words and write a proper introduction and conclusion.

2. I think I have made good progress in organizing my ideas and writing more clearly. However, I still face some challenges, especially with grammar, vocabula",123,10,13.3
task_12,"Forum: First Semester – Post
14 Dec 2025, 12:22 PM","I have learned many new things from the academic writing workshops. I learned how to structure an essay, write a clear thesis statement, and organize ideas into body paragraphs. I also learned how to use transition words and write a proper introduction and conclusion.
I think I have made good progress in organizing my ideas and writing more clearly. However, I still face some challenges, especially with grammar, vocabulary, and expressing my ideas in an academic way. Sometimes I am not confident",117,8,14.62
task_13,"Forum: check-up – Post
14 Feb 2026, 12:19 PM  |  P","Considering we uploaded the introduction and received your feedback, I'm guessing tomorrow we'll either refine it or present it. Maybe we can start in workshops to discuss ideas, then complete the task individually",33,2,16.5
