assignment_id,title,section,submission_date,status,grade,files_submitted,details
2,Welcome & Instructions,Academic Writing (S1),"20 Nov 2025, 9:48 PM",Submitted 2h 11min EARLY,-,1.docx,Grading status: Not graded | Comments: 0 | No time limit noted
3,test  (Clarity & Formality Assessment),Clarity and Formality (S1),"20 Nov 2025, 12:03 AM",Submitted 3 min 47 sec LATE,-,Test.docx,"Grading status: Not graded | Rubric applied (8 pts total): Clarity of Expression (0-2), Formality of Tone (0-2), Precision of Vocabulary (0-2), Organization & Cohesion (0-2)"
4,Identifying Paragraph Patterns,Academic Writing (S1),"30 Nov 2025, 9:57 PM",Submitted 5 days 2h EARLY,-,Home work.docx + online text (68 words),Attempt 1 of 3 allowed | Grading status: Not graded | Comments: 0 | Levelled up to XP Level 4 upon submission
5,Diagnostic Writing Tasks,Academic Writing (S2),"27 Jan 2026, 10:39 PM",Submitted 2 days 1h EARLY,-,AEL.docx + online text (199 words),"Online text begins: 'I used to believe that silence meant weakness. I thought the loudest people were the strongest, and that confidence had to be visible to ...' | Not graded"
6,Argumentative Essay – Writing an Effective Introduction  [DRAFT],Argumentative Essays (S2),"3 Feb 2026, 12:04 AM",Submitted 7 days 23h EARLY,-,Online text (112 words),"Attempt 1 of 20 allowed | 2 submission comments:
  – Instructor (10 Feb 12:34 PM): 'The problem must be well stated and explained + clear arguments'
  – Student (10 Feb 9:34 PM): Full revised introduction text (see Writing Samples sheet)"
7,Argumentative essay Introduction  [GRADED],Argumentative Essays (S2),"12 Feb 2026, 5:06 PM",Submitted 6h 53min EARLY,10 / 100,Essay AEL.docx,"Graded: 12 Feb 2026, 10:27 PM by Fatima GUERCH | 0 submission comments | General feedback provided (instructor model paragraph – see Feedback CSV sheet)"
8,Argumentative body paragraphs: First paragraph,Argumentative Essays (S2),"15 Feb 2026, 10:50 PM",Submitted 2 days 1h EARLY,-,Online text (186 words),"Attempt 1 | 2 submission comments:
  – Instructor (16 Feb 12:48 PM): feedback with 3 revision points
  – Student (16 Feb 9:36 PM): revised paragraph (comment id 406; previous comment 405 deleted)"
9,Argumentative Essay: Second Body Paragraph  [v1 – initial online text],Argumentative Essays (S2),"23 Feb 2026, 2:20 AM (last modified)",No due date listed,-,Online text (200 words),"Text begins: 'Nevertheless, using AI in universities has another problem. It can make students less good at thinking for themselves...'
2 submission comments:
  – Instructor (23 Feb 10:02 PM): 'Revise structure, use formal language, remove AI generated sentences'
  – Student (24 Feb 2:49 AM): full revised text (see Writing Samples sheet)"
10,Argumentative Essay: Second Body Paragraph  [v2 – FINAL SUBMISSION],Argumentative Essays (S2),"6 Mar 2026, 10:16 PM",Submitted 1 day 1h EARLY,-,Online text (198 words) + file upload (0 files),"Submission id: 6533 | Module id: 5969 | Accepted academic integrity statement
2 submission comments:
  – Instructor (7 Mar 4:20 PM): 'Argument present but limited. Improve evidence, add in-text citation, expand reasoning, revise structure'
  – Student (7 Mar 11:02 PM): final revised paragraph (comment id 562) – see Writing Samples sheet"
11,Writing Progress Reflection,Argumentative Essays (S2),"14 Mar 2026, 2:16 AM",Submitted,-,Online text (123 words),Attempt 1 of 3 allowed | Submission id: 6624 | Module id: 6000 | 0 comments | Not yet graded
